Users_Followers,Post_Length,Number of Mentions (@),Number of Hashtags (#),# of Favorites,# of Boosts,Post Time,Post has Media
885,459,0,0,0,0,2024-11-20 17:16:50+00:00,1
904,5,1,0,0,0,2024-11-20 17:16:51+00:00,1
391,493,0,7,0,0,2024-11-20 17:16:48+00:00,0
22421,164,3,0,0,0,2024-11-20 17:15:06+00:00,0
504,132,0,6,0,0,2024-11-20 17:16:45+00:00,0
1278,288,0,6,0,0,2024-11-20 17:16:44+00:00,0
669,452,0,0,0,0,2024-11-20 17:16:45+00:00,0
569,58,1,0,0,0,2024-11-20 17:16:44+00:00,0
161,145,0,1,0,0,2024-11-20 17:16:42+00:00,0
1013,223,0,0,0,0,2024-11-20 16:39:00+00:00,0
160,148,1,0,0,0,2024-11-20 17:16:41+00:00,0
58317,342,0,19,0,0,2024-11-20 17:16:39+00:00,0
3405,118,0,0,0,0,2024-11-20 17:16:28+00:00,0
5507,139,0,0,0,0,2024-11-20 17:16:28+00:00,1
58,201,0,5,0,0,2024-11-20 17:16:35+00:00,0
138,89,1,0,0,0,2024-11-20 17:16:37+00:00,0
2552,348,0,0,0,0,2024-11-20 17:16:34+00:00,1
1222,11,1,0,0,0,2024-11-20 17:16:14+00:00,0
117,188,1,2,0,0,2024-11-20 17:16:31+00:00,0
557,116,0,0,0,0,2024-11-20 17:16:29+00:00,1
662,127,1,0,0,0,2024-11-20 17:16:29+00:00,0
1645,221,0,1,0,0,2024-11-20 17:16:21+00:00,1
2808,454,0,0,0,0,2024-11-20 17:16:29+00:00,0
174,216,0,1,0,0,2024-11-20 17:16:28+00:00,0
8093,272,1,0,0,0,2024-11-20 16:58:28+00:00,0
2269,42,1,0,0,0,2024-11-20 17:16:20+00:00,0
176,490,1,4,0,1,2024-11-20 17:16:26+00:00,0
154,147,1,0,0,0,2024-11-20 17:16:18+00:00,0
4,27,1,0,0,0,2024-11-20 17:16:10+00:00,0
1462,7,0,0,0,0,2024-11-20 17:16:09+00:00,1
8093,273,1,0,0,0,2024-11-20 16:43:31+00:00,0
8093,270,1,0,0,0,2024-11-20 16:02:34+00:00,0
148,149,0,2,0,0,2024-11-20 17:16:22+00:00,0
827,62,1,0,0,0,2024-11-20 17:16:19+00:00,0
2255,136,0,0,0,0,2024-11-20 17:21:58+00:00,0
831,22,0,0,0,0,2024-11-20 17:22:01+00:00,0
9,177,1,0,0,0,2024-11-20 17:21:38+00:00,0
717,67,1,0,0,0,2024-11-20 17:21:06.829000+00:00,0
380,5,0,1,0,0,2024-11-20 17:21:39+00:00,1
1360,123,1,0,0,0,2024-11-20 17:21:58.126000+00:00,0
1537,561,0,0,0,0,2024-11-20 17:21:39+00:00,0
437,55,1,0,0,0,2024-11-20 17:21:35+00:00,0
120,42,0,0,0,0,2024-11-20 17:21:55+00:00,1
23,70,2,0,0,0,2024-11-20 17:21:53+00:00,0
55,449,1,0,0,0,2024-11-20 17:21:35+00:00,0
2199071,251,1,0,0,0,2024-11-20 16:54:48+00:00,0
1,70,1,0,0,0,2024-11-20 17:21:45+00:00,0
2808,144,0,0,0,0,2024-11-20 17:21:47+00:00,0
277,99,2,0,0,0,2024-11-20 17:21:29+00:00,0
162,44,0,0,0,0,2024-11-20 17:21:43.519000+00:00,0
441,70,1,0,0,0,2024-11-20 17:21:42+00:00,0
20,87,1,0,0,0,2024-11-20 17:21:24+00:00,0
35,77,1,0,0,0,2024-11-20 17:21:27+00:00,0
791,288,0,5,0,0,2024-11-20 17:21:38+00:00,0
492,24,1,0,0,0,2024-11-20 17:21:38+00:00,0
694,138,1,0,0,0,2024-11-20 17:21:38+00:00,0
377,192,0,0,0,0,2024-11-20 17:21:38+00:00,0
391,252,2,0,0,0,2024-11-20 17:21:34+00:00,0
3755,262,1,0,0,0,2024-11-20 16:56:33+00:00,0
740,95,0,0,0,0,2024-11-20 17:21:34+00:00,0
131,299,2,0,0,0,2024-11-20 17:21:34.326000+00:00,0
5997,133,1,0,0,0,2024-11-20 17:21:34+00:00,0
427,59,0,0,0,0,2024-11-20 17:21:29+00:00,0
55,150,0,3,0,0,2024-11-20 17:21:33+00:00,0
3664,24,1,0,0,0,2024-11-20 17:21:30+00:00,1
36,120,1,0,0,0,2024-11-20 17:21:12+00:00,0
644,123,0,0,0,0,2024-11-20 17:21:31+00:00,0
1360,126,1,0,0,0,2024-11-20 17:21:30.776000+00:00,0
605528,279,1,0,0,0,2024-11-20 16:57:13+00:00,0
292,127,1,0,0,0,2024-11-20 17:21:23+00:00,0
1,89,1,0,0,0,2024-11-20 17:21:23.361000+00:00,0
10771,495,0,0,0,0,2024-11-20 17:21:12+00:00,0
344,85,3,0,0,0,2024-11-20 17:21:23+00:00,0
380,5,0,1,0,0,2024-11-20 17:21:09+00:00,1
2043,94,1,0,0,0,2024-11-20 17:26:03+00:00,0
7384,35,0,1,0,1,2024-11-20 17:26:02+00:00,1
90,82,1,0,0,0,2024-11-20 17:26:59+00:00,0
1,175,1,0,0,0,2024-11-20 17:26:01+00:00,0
631,38,1,0,0,0,2024-11-20 17:26:58+00:00,0
1651,97,1,0,0,0,2024-11-20 17:26:44+00:00,0
260,73,0,0,0,0,2024-11-20 17:24:57+00:00,0
24769,78,0,0,0,0,2024-11-20 17:25:54+00:00,1
65,366,0,1,0,0,2024-11-20 17:26:55+00:00,0
1722,1020,0,0,0,0,2024-11-20 17:26:51+00:00,0
67,163,0,0,0,0,2024-11-20 17:25:50+00:00,0
4,69,1,0,0,0,2024-11-20 17:26:50+00:00,0
1120,250,2,1,0,0,2024-11-20 17:26:47+00:00,0
1656,72,1,0,0,0,2024-11-20 17:26:42+00:00,0
234,253,1,0,0,0,2024-11-20 17:26:45+00:00,0
210,240,0,0,0,0,2024-11-20 17:21:58+00:00,0
504,368,0,3,0,0,2024-11-20 17:10:00+00:00,0
7095,367,0,0,0,0,2024-11-20 17:25:44+00:00,0
